,create_time,bid,bn,campaign_id,cd,custom_track,de,dl,dt,ed,ev,group_id,id,job_id,md,publisher_id,rl,sr,ts,tz,ua,uid,utm_campaign,utm_content,utm_medium,utm_source,utm_term,v,vp
0,5af328a0-0d60-11ed-90e9-7cd44fe229db,1.0,Chrome 103,48.0,24.0,,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/3235a2389bed6cdd59ad37ff23c1b6b4fb2d1668?param1=188&param2=1,CandidatePortal,,1.0,34.0,,188.0,true,1.0,,1366x768,2022-07-27 03:58:22.542,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-347wwfkr-l632u1zk,,,,,,1.0,1366x625
1,d6b1f400-0188-11ed-b23e-8dfcae6c0dfd,,Chrome 103,,24.0,click,UTF-8,http://150.136.2.86/candidate-portal/job,CandidatePortal,"{""customEvent"":""click"",""jobId"":81,""publisherId"":0,""userId"":116}",2.0,,,,true,,,1920x1080,2022-07-12 02:17:54.479,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-0d5ciljy-l4pdlaxd,,,,,,1.0,1455x929
2,9c1b1660-0191-11ed-8872-72e1f40ca1d2,,Chrome 103,,24.0,click,UTF-8,http://localhost:4200/candidate-portal/job,CandidatePortal,"{""customEvent"":""click"",""jobId"":192,""publisherId"":0,""userId"":123}",2.0,,,,true,,http://localhost:4200/candidate-portal/job,1920x1080,2022-07-12 03:20:41.346,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-rrc3k5vd-l4o0b4yy,,,,,,1.0,1367x929
3,38455980-0c1c-11ed-9604-2837d6f241c5,,Chrome 103,,24.0,,UTF-8,http://fe.stag.gotoro.io/candidate-portal/confirm-interview?calendarId=30&availableId=89&jobId=384&publisherIds=,CandidatePortal,,1.0,,,,true,,,1920x1080,2022-07-25 13:18:05.654,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-7sdmvw7b-l60r3ocj,,,,,,1.0,1920x947
4,855c7090-0a51-11ed-84f7-2d4940c4b8bc,,Safari 604,,32.0,,UTF-8,http://fe.test.gotoro.io/candidate-portal/job?what=developer&where=,CandidatePortal,,1.0,,,,true,,,375x812,2022-07-23 06:34:35.921,-420.0,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/103.0.5060.63 Mobile/15E148 Safari/604.1",1-m7pas2e6-l5xilolj,,,,,,1.0,375x640
5,f8a490d0-0c8d-11ed-b4ec-79f84cfb31c1,0.0,Chrome 103,222.0,24.0,,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/601800a53111c9bfeef6bd826664a0bff0958d79?param1=1527&param2=1,CandidatePortal,,1.0,,,1527.0,true,1.0,,1366x768,2022-07-26 02:52:22.916,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-t8bqaiy4-l61kszmf,,,,,,1.0,1366x625
6,780e8470-0b2b-11ed-b52c-55e0e4add5f1,,Chrome 103,,24.0,,UTF-8,http://150.136.2.86/candidate-portal/messages,CandidatePortal,,1.0,,,,true,,,1366x768,2022-07-24 08:34:44.284,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-m8tpkuds-l4oxward,,,,,,1.0,1707x781
7,26eb3150-0d61-11ed-9fd0-70c372b40ff7,1.0,Chrome 103,48.0,24.0,click,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/52fe1ea5de8f95daf32f506315eaf022fec89350?param1=187&param2=1,CandidatePortal,"{""customEvent"":""click"",""jobId"":""187"",""publisherId"":""1""}",2.0,34.0,,187.0,true,1.0,,1366x768,2022-07-27 04:04:04.393,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-347wwfkr-l632u1zk,,,,,,1.0,1366x625
8,e460b5a0-0d63-11ed-a06d-1ce2883132bb,0.0,Chrome 103,222.0,24.0,,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/2002f89476e56ae92bfede9a4b96a25753e706dc?param1=1534&param2=1,CandidatePortal,,1.0,,,1534.0,true,1.0,,1366x768,2022-07-27 04:23:41.546,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-5bqarbwn-l633cyss,,,,,,1.0,1366x625
9,76056ab0-0caf-11ed-94a5-f26d35d337e7,,Chrome 103,,24.0,alive,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/336?jobId=336&publisherId=1,CandidatePortal,"{""customEvent"":""alive"",""jobId"":""336"",""publisherId"":""1"",""stayed_alive"":10}",2.0,,,,true,,,1366x768,2022-07-26 06:52:07.411,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-kntupfok-l61tduvk,,,,,,1.0,1366x625
10,97a69700-0c8e-11ed-9b8f-6e74c2d1a15b,0.0,Chrome 103,222.0,24.0,click,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/67efdcf3279f30f33602423a263eba092c7a94f8?param1=1529&param2=1,CandidatePortal,"{""customEvent"":""click"",""jobId"":""1529"",""publisherId"":""1""}",2.0,,,1529.0,true,1.0,,1366x768,2022-07-26 02:56:49.738,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-t8bqaiy4-l61kszmf,,,,,,1.0,1366x625
11,29164d40-0422-11ed-8682-fd972399e4e6,,Chrome 102,,24.0,,UTF-8,http://fe.dev.gotoro.io/candidate-portal/,CandidatePortal,,1.0,,,,true,,,1920x1080,2022-07-15 09:40:27.882,-420.0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36",1-t4tqlljw-l5m9ph44,,,,,,1.0,1072x976
12,1bb3f440-fea5-11ec-bfe8-f9acaa3fa4ff,,Chrome 103,,24.0,,UTF-8,http://150.230.186.232/candidate-portal/job/19?r=&param1=98&param2=2,CandidatePortal,,1.0,,,,true,,,1366x768,2022-07-08 10:02:44.351,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-c5v39kv8-l5c94dee,,,,,,1.0,1366x625
13,8d4bc290-0bfc-11ed-af72-24fb4734cd22,1.0,Chrome 103,48.0,24.0,click,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/3235a2389bed6cdd59ad37ff23c1b6b4fb2d1668?param1=188&param2=1,CandidatePortal,"{""customEvent"":""click"",""jobId"":""188"",""publisherId"":""1""}",2.0,34.0,,188.0,true,1.0,,1366x768,2022-07-25 09:31:25.318,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-yh82s4al-l60jlqwa,,,,,,1.0,1366x568
14,3ce54830-0cb0-11ed-a1c8-d08db82170b0,0.0,Chrome 103,222.0,24.0,click,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/601800a53111c9bfeef6bd826664a0bff0958d79?param1=1527&param2=1,CandidatePortal,"{""customEvent"":""click"",""jobId"":""1527"",""publisherId"":""1""}",2.0,,,1527.0,true,1.0,,1366x768,2022-07-26 06:57:41.074,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-kntupfok-l61tduvk,,,,,,1.0,1366x625
15,dc2b2230-089f-11ed-89e4-5026ea32813a,,Chrome 103,,24.0,alive,UTF-8,http://150.230.186.232/candidate-portal/job/565,CandidatePortal,"{""customEvent"":""alive"",""jobId"":""565"",""publisherId"":0,""userId"":425,""stayed_alive"":10}",2.0,,,,true,,,1920x1080,2022-07-21 02:50:20.198,-420.0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-4lva4hrh-l5te7l3b,,,,,,1.0,1920x884
16,73756820-0437-11ed-9877-756f7ba4360b,,chrome 99,,24.0,,utf-8,http://150.136.2.86/candidate-portal/login,candidateportal,,1.0,,,,true,,,1536x864,2022-07-12 02:42:44.066,-420.0,"mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/99.0.4844.84 safari/537.36",1-m1rjmp9d-l4zajc12,,,,,,1.0,1536x752
17,47c41410-08ec-11ed-a6a4-e523cd81e6ab,,Chrome 102,,24.0,,UTF-8,http://localhost:4200/,CandidatePortal,,1.0,,,,true,,,1920x1080,2022-07-21 11:57:22.304,-420.0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36",1-ok78d38x-l5j7ka8p,,,,,,1.0,1920x976
18,723245a0-02ca-11ed-941e-7c73a9af9686,,Chrome 103,,24.0,click,UTF-8,http://localhost:4200/candidate-portal/job,CandidatePortal,"{""customEvent"":""click"",""jobId"":8,""publisherId"":0,""userId"":110}",2.0,,,,true,,http://localhost:4200/candidate-portal/,1536x864,2022-07-13 16:40:01.917,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-rrc3k5vd-l4o0b4yy,,,,,,1.0,1050x714
19,38fcd040-0b38-11ed-8b29-2805c8025275,,Chrome 103,,24.0,alive,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/188?jobId=188&publisherId=1,CandidatePortal,"{""customEvent"":""alive"",""jobId"":""188"",""publisherId"":""1"",""stayed_alive"":10}",2.0,,,,true,,,1366x768,2022-07-24 10:06:02.351,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-84pzfc44-l5z5mcft,,,,,,1.0,1366x625
20,cec43770-08d7-11ed-b254-40407520bf56,,Chrome 103,,24.0,,UTF-8,http://150.136.2.86/candidate-portal/profile,CandidatePortal,,1.0,,,,true,,,1366x768,2022-07-21 09:30:49.681,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-m8tpkuds-l4oxward,,,,,,1.0,1517x694
21,be2cbf90-0846-11ed-91df-8ad386064e61,,Chrome 102,,24.0,,UTF-8,http://localhost:4200/candidate-portal/,CandidatePortal,,1.0,,,,true,,http://localhost:4200/candidate-portal/,1920x1080,2022-07-20 16:12:24.428,-420.0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36",1-ok78d38x-l5j7ka8p,,,,,,1.0,1104x976
22,b2425d90-0cae-11ed-85db-a4559a9be5b9,1.0,Chrome 103,93.0,24.0,,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/ec972305bf4fd6cdf2b3701dbebc4a5385bd3258?param1=258&param2=1,CandidatePortal,,1.0,,,258.0,true,1.0,,1366x768,2022-07-26 06:46:38.972,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-kntupfok-l61tduvk,,,,,,1.0,1366x625
23,313f68d0-0cb0-11ed-a269-599101693e82,0.0,Chrome 103,222.0,24.0,click,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/601800a53111c9bfeef6bd826664a0bff0958d79?param1=1527&param2=1,CandidatePortal,"{""customEvent"":""click"",""jobId"":""1527"",""publisherId"":""1""}",2.0,,,1527.0,true,1.0,,1366x768,2022-07-26 06:57:21.510,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-kntupfok-l61tduvk,,,,,,1.0,1366x625
24,66e5a280-0209-11ed-b241-68d449875c11,,Chrome 96,,24.0,unqualified,UTF-8,http://150.136.2.86/candidate-portal/profile,CandidatePortal,"{""customEvent"":""unqualified"",""publisherId"":0,""userId"":276}",2.0,,,,true,,,1920x1080,2022-07-12 17:38:12.131,-420.0,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36",1-o23lt45w-l516d965,,,,,,1.0,1920x919
25,0bd9cb20-0d79-11ed-a305-92f6bdaf05b1,,Chrome 103,,24.0,,UTF-8,http://150.136.2.86/candidate-portal/,CandidatePortal,,1.0,,,,true,,,1536x864,2022-07-27 06:55:03.334,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-0d5ciljy-l4pdlaxd,,,,,,1.0,1536x714
26,ab0035c0-0353-11ed-b64d-e1a9cf5e0447,,Chrome 99,,24.0,,UTF-8,http://150.136.2.86/candidate-portal/messages,CandidatePortal,,1.0,,,,true,,,1536x864,2022-07-14 09:02:21.589,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36",1-m1rjmp9d-l4zajc12,,,,,,1.0,1536x754
27,7956c0c0-079a-11ed-b3ea-ca488b855c75,,Chrome 102,,24.0,,UTF-8,http://localhost:4200/candidate-portal/,CandidatePortal,,1.0,,,,true,,http://localhost:4200/candidate-portal/,1920x1080,2022-07-19 19:39:15.475,-420.0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36",1-ok78d38x-l5j7ka8p,,,,,,1.0,1391x925
28,78b30e80-0bff-11ed-b1f1-1b9cb5d32483,0.0,Chrome 103,222.0,24.0,click,UTF-8,http://fe.dev.gotoro.io/candidate-portal/job/94d21a2757ece4af499b705f1b02c08d7caa80b0?param1=1533&param2=1,CandidatePortal,"{""customEvent"":""click"",""jobId"":""1533"",""publisherId"":""1""}",2.0,,,1533.0,true,1.0,,1366x768,2022-07-25 09:52:18.012,-420.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-yh82s4al-l60jlqwa,,,,,,1.0,1366x625
29,9cac5920-0850-11ed-b22c-08eed78b29b4,,Chrome 102,,24.0,,UTF-8,http://fe.dev.gotoro.io/candidate-portal/,CandidatePortal,,1.0,,,,true,,,1920x1080,2022-07-20 17:23:03.490,-420.0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36",1-t4tqlljw-l5m9ph44,,,,,,1.0,1920x976
30,7cdc7ec0-07df-11ed-86f5-a2e8854d42f1,,Chrome 103,,24.0,,UTF-8,http://150.136.2.86/candidate-portal/profile,CandidatePortal,,1.0,,,,true,,,1920x1080,2022-07-20 03:53:16.681,-420.0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-r6v0gnu3-l5ro08os,,,,,,1.0,1920x884
31,a0818890-00f3-11ed-b488-c80e2bbf0506,,Chrome 103,,24.0,,UTF-8,http://localhost:4300/candidate-portal/,CandidatePortal,,1.0,,,,true,,http://localhost:4300/candidate-portal/job,1920x1080,2022-07-11 08:29:48.363,-420.0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",1-9tivgsfi-l4rae1qy,,,,,,1.0,1858x944
32,c31b2e10-fd42-11ec-8ee1-0a30ddfd549f,,Chrome 96,,24.0,,UTF-8,http://150.136.2.86/candidate-portal/,CandidatePortal,,1.0,,,,true,,,1920x1080,2022-07-06 15:46:12.063,-420.0,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36",1-o23lt45w-l516d965,,,,,,1.0,1920x980
