id,created_by,created_date,last_modified_by,last_modified_date,is_active,campaign_name,budget_total,unit_budget,start_date,end_date,close_date,campaign_status,background_status,pacing_unit,company_id,number_of_pacing,recommend_budget,import_xml_url,bid_set,ats_type,ats_data
1,admin,2022-03-15 01:40:00,user1141,2022-07-27 14:52:37,1,Campaign 121,1002930129,USD,2022-04-26 10:14:43,2022-12-26 10:14:43,2022-12-26 10:14:43,1,1,Daily,1,0,0,https://raw.githubusercontent.com/fantruyent/job/main/job3,,,
2,admin,2022-03-15 02:08:00,admin,2022-07-12 04:14:37.382772,1,drrrrrraft,31710,$,2022-04-26 10:14:43,2022-12-26 10:14:43,2022-12-26 10:14:43,0,,daily,1,0,193257,"",,,
3,admin,2022-03-15 05:16:00,admin,2022-07-12 04:14:38.018630,1,2233,220,$,2022-04-26 10:14:43,2022-12-26 10:14:43,2022-12-26 10:14:43,0,,daily,1,0,193257,"",,,
4,admin,2022-03-16 04:03:00,admin,2022-07-15 02:49:27,1,Campaign draft,1932570,USD,2022-04-26 17:14:43,2022-12-26 17:14:43,2022-12-26 10:14:43,1,1,daily,1,3,0,"",,,
5,admin,2022-03-16 07:46:00,myuser,2022-07-26 18:45:50,1,Trung Thu3,193000,USD,2022-04-27 01:43:32,2022-04-28 01:43:32,,1,1,Daily,1,5,0,"",,,
6,admin,2022-03-17 02:56:00,myuser,2022-07-26 03:51:06,1,Campaign 3-copy,193257,USD,2022-04-27 01:43:32,2022-04-28 01:43:32,,1,,Daily,1,0,0,"",,,
7,admin,2022-03-17 17:26:00,myuser,2022-07-26 09:28:23,1,Campaign draft 123,14910,USD,2022-04-27 01:16:54,2022-04-28 01:16:54,,1,,Daily,1,0,,"",,,
8,admin,2022-03-17 17:27:00,admin,2022-07-22 20:15:09,1,Tet 012,19600,USD,2022-04-27 01:55:08,2022-04-28 01:55:08,,1,1,Daily,1,0,,https://raw.githubusercontent.com/vansuphan/react-app/master/import-xml-admin.xml,,,
9,admin,2022-03-17 17:28:00,admin,2022-07-24 06:26:32,1,Test 123,25000,USD,2022-04-27 02:04:06,2022-04-28 02:04:06,,1,,Daily,1,0,0,https://raw.githubusercontent.com/NguyenVanLinh1709/xml-key/main/job4.xml,,,
10,admin,2022-03-17 17:43:00,client1,2022-05-22 10:57:00,1,Mua he xanh,47180,USD,2022-04-27 02:50:26,2022-04-28 02:50:26,,1,,Daily,1,0,,"",,,
11,admin,2022-03-17 18:24:00,user1141,2022-07-27 14:39:28,1,Mau hef 2,77000,USD,2022-04-27 02:50:26,2022-04-28 02:50:26,,1,1,Daily,1,0,,https://raw.githubusercontent.com/fantruyent/job/main/job3,,,
12,admin,2022-03-17 18:25:00,user1141,2022-07-27 14:38:50,1,Mua he 3 update v1,66000,USD,2022-04-26 10:14:43,2022-12-26 10:14:43,,2,1,daily,1,0,,https://account.webspidermount.com/download/post/13cabfc900adfb063366fa3a3bc65d5b5b4c63bfeb23e78b2471f44aa0b202d2/?inline,,,
13,admin,2022-03-17 18:26:00,admin,2022-07-24 02:37:50,1,Mua he 45,44,USD,2022-04-27 01:43:32,2022-04-28 01:43:32,,1,1,Daily,1,0,0,https://raw.githubusercontent.com/NguyenVanLinh1709/xml-key/main/job.xml,,,
15,admin,2022-04-27 08:30:06.517883,,2022-04-27 08:30:06.517883,1,New  1299-copy,100,USD,2022-04-27 02:50:26,2022-04-28 02:50:26,,3,,Daily,1,0,,"",,,
16,admin,2022-04-27 08:30:52.620620,,2022-04-27 08:30:52.620620,1,New  1299-copy-copy,100,USD,2022-04-27 02:50:26,2022-04-28 02:50:26,,3,,Daily,1,0,,"",,,
18,admin,2022-05-02 17:25:34.614917,admin,2022-07-18 07:14:50,1,Campaign test publisher,12000,USD,2022-05-02 17:24:31,2022-05-03 17:24:31,,1,1,Daily,1,0,,"",,,
20,admin,2022-05-03 03:24:45.412340,admin,2022-05-04 04:52:54,1,Campaign 1023,12000,USD,2022-05-03 03:22:54,2022-05-04 03:22:54,,3,,Daily,1,0,,"",,,
22,admin,2022-05-03 18:06:03.890502,,2022-05-03 18:06:03.890502,1,Campaign 10500,1111,USD,2022-05-03 18:05:13,2022-05-04 18:05:13,,3,,Daily,1,0,,"",,,
24,admin,2022-05-04 04:05:38.529791,,2022-05-04 04:05:38.529791,1,Campaign 1105,1000,USD,2022-05-04 04:05:15,2022-05-05 04:05:15,,3,,Daily,1,0,,"",,,
