id,created_by,created_date,last_modified_by,last_modified_date,is_active,name,budget_group,status,company_id,campaign_id,number_of_pacing
1,admin,2022-04-26 14:05:19.553400,admin,2022-07-12 07:57:23,1,Group 1: UX Design,400,1,1,1,0
2,admin,2022-04-26 14:05:39.063216,myuser,2022-07-26 03:49:25,1,Group 1: UI Design,11878,1,1,1,0
3,admin,2022-04-26 14:05:59.631797,myuser,2022-07-26 03:49:27,1,Group: Backend,4000,1,1,1,0
4,admin,2022-04-27 15:09:20.391379,myuser,2022-07-26 03:49:28,1,Test Group 12123,1234,1,1,1,0
5,admin,2022-04-27 15:18:18.963189,myuser,2022-07-27 06:59:17,1,Test Group 121234,1234,2,1,1,0
6,admin,2022-05-05 06:11:56.395411,managed_client,2022-06-08 07:54:25,1,group,1234,2,1,6,0
7,admin,2022-05-05 08:51:41.871217,admin,2022-06-20 18:17:02,1,test budget group,222,1,1,33,0
8,client1,2022-05-25 02:56:16.949729,myuser,2022-07-26 03:49:32,1,Group123,1000,1,1,1,0
9,hoapq1,2022-06-06 13:05:52.607584,myuser,2022-07-26 03:49:33,1,new group,500,1,1,1,0
10,admin,2022-06-09 02:06:08.111976,myuser,2022-07-26 03:49:14,1,Su,1000,1,1,1,0
11,self_client,2022-06-10 08:16:40.431141,self_client,2022-07-10 23:13:41,1,Job group FE,1000,1,33,48,0
12,admin,2022-06-13 16:39:01.616325,admin,2022-06-13 16:39:01.616325,1,Group 957,10000,1,1,90,0
13,admin,2022-06-13 16:59:11.581351,admin,2022-06-13 16:59:11.581351,1,group 1156,10000,1,1,91,0
14,admin,2022-06-14 04:43:20.020384,myuser,2022-07-26 03:50:55,1,1141,10000,1,1,4,0
15,admin,2022-06-14 06:20:21.796144,myuser,2022-07-22 20:48:09,1,Group 118,10000,1,1,7,0
16,admin,2022-06-14 08:09:12.415094,admin,2022-06-20 17:57:04,1,Group 132,1000,1,1,10,0
17,admin,2022-06-14 10:00:45.933233,admin,2022-06-14 10:01:53,1,Su2,2000,1,1,9,0
18,admin,2022-06-15 04:01:49.121527,admin,2022-06-15 04:01:49.121527,1,Group 436,10000,2,1,11,0
19,admin,2022-06-15 06:40:16.118014,admin,2022-06-20 17:57:06,1,Group 309,10000,1,1,10,0
20,admin,2022-06-20 08:54:57.355155,self_client,2022-07-15 13:48:38,1,Frontend Group,1000,2,1,98,0
21,admin,2022-06-28 06:29:39.410359,myuser,2022-07-26 18:45:50,1,Group,10000,1,1,5,0
22,admin,2022-06-28 06:33:01.024576,admin,2022-06-28 06:33:01.024576,1,Group 1022,10000,2,1,8,0
23,self_client,2022-07-03 07:57:40.677690,self_client,2022-07-15 02:49:57,1,Test Group 0307,4000,1,33,54,0
24,admin,2022-07-07 03:16:38.182270,admin,2022-07-07 18:53:53,1,lta test create group 7/7,1200,1,1,1,0
25,admin,2022-07-12 07:53:26.870153,myuser,2022-07-27 06:38:45,1,abc,50,2,1,12,0
26,self_client,2022-07-15 13:52:53.679809,self_client,2022-07-15 13:54:31,1,FE 0001,10000,2,33,57,0
27,self_client,2022-07-15 13:54:01.279009,self_client,2022-07-16 09:06:20,1,FE 0002,20000,2,33,57,0
28,self_client,2022-07-18 06:46:44.664409,self_client,2022-07-18 06:46:44.664409,1,group job 18t7,500,1,33,151,0
29,admin,2022-07-18 08:27:56.181443,admin,2022-07-18 08:27:56.181443,1,Group 1526,100,1,3,178,0
30,admin,2022-07-18 09:13:32.507183,admin,2022-07-20 08:55:10,1,Group 715,100,1,40,53,0
31,admin,2022-07-18 17:11:56.113274,admin,2022-07-18 17:11:56.113274,1,Group 0010,100,1,15,69,0
32,admin,2022-07-21 03:15:39.477370,admin,2022-07-21 03:15:39.477370,1,Daddy group,100,1,40,70,0
33,test22071949,2022-07-22 13:15:59.271341,test22071949,2022-07-22 16:33:31,1,fe 01,1000,2,33,48,0
34,test22071949,2022-07-22 13:15:59.662330,test22071949,2022-07-22 13:37:18,1,fe 01,1000,1,33,48,0
35,admin,2022-07-23 11:10:48.871517,admin,2022-07-23 11:10:48.871517,1,Job2252187,2000,1,10,63,0
36,user1141,2022-07-24 06:49:20.570791,user1141,2022-07-24 06:49:20.570791,1,Group 1: UX Design,4000,1,1,1,0
37,user1141,2022-07-24 06:52:46.806896,user1141,2022-07-24 06:52:46.806896,1,gr 140,100,1,1,10,0
38,myuser,2022-07-25 08:58:53.122322,myuser,2022-07-25 08:58:53.122322,1,tien long,400,1,1,222,0
39,admin,2022-07-25 09:56:35.383180,admin,2022-07-25 09:56:35.383180,1,Group1654,10000,1,40,223,0
40,user1141,2022-07-27 09:35:36.170572,user1141,2022-07-27 09:35:36.170572,1,abc,100,1,1,8,0
41,user1141,2022-07-27 09:37:07.476165,user1141,2022-07-27 09:37:07.476165,1,gr1446,100,1,1,9,0
42,Self_Client_Dev,2022-07-27 15:58:57.309168,Self_Client_Dev,2022-07-27 15:58:57.309168,1,Group_N_27071755,1000,1,2,231,0
43,Self_Client_Dev,2022-07-27 16:00:48.492722,Self_Client_Dev,2022-07-27 16:00:48.492722,1,Group_N_27071756,900,1,2,232,0
