id,created_by,created_date,last_modified_by,last_modified_date,is_active,user_id,company_id
1,admin,2022-05-19 16:32:52.632146,admin,2022-05-19 16:32:52.632146,1,25,15
4,admin,2022-05-20 04:03:13.048948,admin,2022-05-20 04:03:13.048948,1,38,25
5,admin,2022-05-20 08:25:52.087955,admin,2022-06-20 07:28:37.554218,1,2,1
92,admin,2022-06-23 08:39:18.331914,admin,2022-06-23 08:39:18.331914,1,102,3
93,admin,2022-06-23 09:31:57.476937,admin,2022-06-23 09:31:57.476937,1,126,40
95,admin,2022-06-23 10:40:10.236648,admin,2022-06-23 10:40:10.236648,1,85,44
96,admin,2022-06-23 11:11:53.293635,admin,2022-06-23 11:11:53.293635,1,133,11
97,admin,2022-06-23 11:12:40.099461,admin,2022-06-23 11:12:40.099461,1,133,12
100,admin,2022-06-30 09:34:01.652675,admin,2022-06-30 09:34:01.652675,1,200,13
101,admin,2022-06-30 09:34:03.254850,admin,2022-06-30 09:34:03.254850,1,200,20
104,admin,2022-07-01 04:22:00.674326,admin,2022-07-01 04:22:00.674326,1,78,14
105,admin,2022-07-01 04:22:00.683908,admin,2022-07-01 04:22:00.683908,1,78,21
107,admin,2022-07-01 04:24:21.158738,admin,2022-07-01 04:24:21.158738,1,1,78
108,admin,2022-07-01 04:25:55.793899,admin,2022-07-01 04:25:55.793899,1,78,32
110,admin,2022-07-01 04:28:00.219006,admin,2022-07-01 04:28:00.219006,1,78,31
112,admin,2022-07-01 04:36:02.242941,admin,2022-07-01 04:36:02.242941,1,78,45
114,admin,2022-07-01 04:36:58.895071,admin,2022-07-01 04:36:58.895071,1,83,61
115,admin,2022-07-12 03:39:36.057092,admin,2022-07-12 03:39:36.057092,1,201,42
116,admin,2022-07-23 10:40:45.792898,admin,2022-07-23 10:40:45.792898,1,454,40
117,admin,2022-07-23 10:40:50.514157,admin,2022-07-23 10:40:50.514157,1,454,19
