id,created_by,created_date,last_modified_by,last_modified_date,is_active,name,description
1,,2022-04-26 13:37:55.796207,,2022-06-21 07:26:46.965662,1,Capital Markets,Capital Markets
2,,2022-04-26 13:37:55.804611,,2022-06-21 07:26:46.965662,1,Construction / Facilities,Construction / Facilities
3,,2022-04-26 13:37:55.809206,,2022-06-21 07:26:46.965662,1,Education / Higher Education,Education / Higher Education
4,,2022-06-21 06:58:11.005922,,2022-06-21 07:26:46.965662,1,Emergency Services / Enforcement,Emergency Services / Enforcement
5,,2022-06-21 06:58:15.374604,,2022-06-21 07:26:46.965662,1,Executive,Executive
6,,2022-06-21 06:58:20.588183,,2022-06-21 07:26:46.965662,1,Finance,Finance
7,,2022-06-21 06:58:23.845328,,2022-06-21 07:26:46.965662,1,Fitness / Recreational,Fitness / Recreational
8,,2022-06-21 06:58:29.199248,,2022-06-21 07:26:46.965662,1,Government,Government
9,,2022-06-21 06:58:32.410445,,2022-06-21 07:26:46.965662,1,Healthcare,Healthcare
10,,2022-06-21 06:58:43.575742,,2022-06-21 07:26:46.965662,1,Information Technology,Information Technology
11,,2022-06-21 06:58:49.138086,,2022-06-21 07:26:46.965662,1,Legal / Compliance,Legal / Compliance
12,,2022-06-21 06:58:52.137586,,2022-06-21 07:26:46.965662,1,Maintenance / Mechanical,Maintenance / Mechanical
13,,2022-06-21 06:58:54.766074,,2022-06-21 07:26:46.965662,1,Realestate,Realestate
14,,2022-06-21 06:59:00.487629,,2022-06-21 07:26:46.965662,1,Restaurant / Hospitality,Restaurant / Hospitality
15,,2022-06-21 06:59:50.882499,,2022-06-21 07:26:46.965662,1,Retail,Retail
16,,2022-06-21 06:59:58.766800,,2022-06-21 07:26:46.965662,1,Transportation & Logistics,Transportation & Logistics
17,,2022-06-21 07:00:07.435298,,2022-06-21 07:26:46.965662,1,Warehouse,Warehouse
18,,2022-06-21 07:30:51.275380,,2022-07-23 02:46:54.621038,1,Capital Markets 1,Capital Markets
19,,2022-06-22 08:01:35.472755,,2022-06-22 08:01:35.472755,1,Sales,
